Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2290       4776       0          2690       2.09
structure_refs      754        415        0          8          0.55
biomes              754        3652       0          1753       4.84
terrain             754        7393       1          248        9.81
surface             754        2458       0          103        3.26
air_carvers         754        2089       0          103        2.77
fluid_carvers       754        218        0          94         0.29
decoration          634        4255       0          250        6.71
mob_spawns          530        146        0          28         0.28
structure_searches  0          0          0          0          0.00
Sum                                                             30.59
