[25Oct2025 15:38:15.894] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 47.3.7, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412, nogui]
[25Oct2025 15:38:15.899] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.16 by Ubuntu; OS Linux arch amd64 version 6.8.0-1030-azure
[25Oct2025 15:38:18.382] [main/INFO] [net.minecraftforge.fml.loading.ImmediateWindowHandler/]: ImmediateWindowProvider not loading because launch target is forgeserver
[25Oct2025 15:38:18.708] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Server.onepiece02/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2365!/ Service=ModLauncher Env=SERVER
[25Oct2025 15:38:18.871] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[25Oct2025 15:38:18.878] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/Server.onepiece02/servidor_minecraft
[25Oct2025 15:38:18.881] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/Server.onepiece02/servidor_minecraft/mods
[25Oct2025 15:38:18.882] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[25Oct2025 15:38:18.884] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/Server.onepiece02/servidor_minecraft/config/mods_optimizer/config.toml
[25Oct2025 15:38:18.970] [main/INFO] [Mods Optimizer/]: [Mods Database Updater] ⏳ Local mods-database.json is still fresh (last update: 2025-10-25T05:22:32.747676145Z).
[25Oct2025 15:38:18.994] [main/INFO] [Mods Optimizer/]: Mods Optimizer Mods Database Config File loaded with 346 mods client: 306, server: 18, default: 22.
[25Oct2025 15:38:19.002] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/Server.onepiece02/servidor_minecraft and mods dir /workspaces/Server.onepiece02/servidor_minecraft/mods for target SERVER in 119 ms.
[25Oct2025 15:38:19.010] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[25Oct2025 15:38:19.021] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~156 mods in /workspaces/Server.onepiece02/servidor_minecraft/mods with file extension .jar ...
[25Oct2025 15:38:19.116] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothchunk from BOTH to SERVER
[25Oct2025 15:38:19.151] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_spawn from BOTH to SERVER
[25Oct2025 15:38:19.204] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_core from BOTH to SERVER
[25Oct2025 15:38:19.276] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_player from BOTH to SERVER
[25Oct2025 15:38:19.323] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to BOTH
[25Oct2025 15:38:19.356] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/Server.onepiece02/servidor_minecraft/mods/stellarity-lite-1.20.1.jar, which is expected in some cases.
[25Oct2025 15:38:19.360] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks from BOTH to SERVER
[25Oct2025 15:38:19.457] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_items from BOTH to SERVER
[25Oct2025 15:38:19.470] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.yungsapi[0] section of the mods.toml file /workspaces/Server.onepiece02/servidor_minecraft/mods/YungsApi-1.20-Forge-4.0.6.jar!
[25Oct2025 15:38:19.480] [main/WARN] [Mods Optimizer/]: ⚠ Found no version tag inside the fabric.mod.json file /workspaces/Server.onepiece02/servidor_minecraft/mods/Neruina-2.1.2-forge+1.20.1.jar!
[25Oct2025 15:38:19.503] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for adaptive_performance_tweaks_gamerules from BOTH to SERVER
[25Oct2025 15:38:19.588] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.travelerstitles[0] section of the mods.toml file /workspaces/Server.onepiece02/servidor_minecraft/mods/TravelersTitles-1.20-Forge-4.0.2.jar!
[25Oct2025 15:38:19.596] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 2 data pack mods in 141 mods.
[25Oct2025 15:38:19.599] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 9 server mods in 141 mods.
[25Oct2025 15:38:19.599] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 130 default mods in 141 mods.
[25Oct2025 15:38:19.600] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[25Oct2025 15:38:19.603] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[25Oct2025 15:38:19.603] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[25Oct2025 15:38:19.604] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_core   | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:03 |
[25Oct2025 15:38:19.605] [main/INFO] [Mods Optimizer/]: | kubejs                             | 2001.6.5-build.16      | FORGE    | BOTH              | 2024-10-28 09:20:21 |
[25Oct2025 15:38:19.606] [main/INFO] [Mods Optimizer/]: | almanac                            | 1.0.2                  | FORGE    | SERVER            | 2025-10-25 05:35:06 |
[25Oct2025 15:38:19.607] [main/INFO] [Mods Optimizer/]: | netherportalfix                    | 13.0.1                 | FORGE    | BOTH              | 2023-12-08 13:21:49 |
[25Oct2025 15:38:19.610] [main/INFO] [Mods Optimizer/]: | alexsmobs                          | 1.22.9                 | FORGE    | BOTH              | 2025-10-25 05:08:50 |
[25Oct2025 15:38:19.610] [main/INFO] [Mods Optimizer/]: | geckolib                           | 4.7.2                  | FORGE    | BOTH              | 2025-06-17 06:13:27 |
[25Oct2025 15:38:19.611] [main/INFO] [Mods Optimizer/]: | botarium                           | 2.3.4                  | FORGE    | BOTH              | 2025-10-25 05:11:35 |
[25Oct2025 15:38:19.612] [main/INFO] [Mods Optimizer/]: | moreartifacts                      | 1.4.2-1                | FORGE    | BOTH              | 2025-06-22 05:20:30 |
[25Oct2025 15:38:19.615] [main/INFO] [Mods Optimizer/]: | aether                             | 1.20.1-1.5.2-neoforge  | NEOFORGE | BOTH              | 2025-01-28 21:37:07 |
[25Oct2025 15:38:19.616] [main/INFO] [Mods Optimizer/]: | mcdar                              | 4.0.5                  | FABRIC   | BOTH              | 2025-10-25 05:14:02 |
[25Oct2025 15:38:19.617] [main/INFO] [Mods Optimizer/]: | nerb                               | 0.4.1                  | FORGE    | BOTH              | 2025-10-25 05:22:00 |
[25Oct2025 15:38:19.617] [main/INFO] [Mods Optimizer/]: | loadingbackgrounds                 | 1.5.0                  | FORGE    | BOTH              | 2024-05-07 19:33:58 |
[25Oct2025 15:38:19.618] [main/INFO] [Mods Optimizer/]: | connectivity                       | 1.20.1-6.5             | FORGE    | BOTH              | 2025-01-03 22:00:36 |
[25Oct2025 15:38:19.620] [main/INFO] [Mods Optimizer/]: | incendium                          | 5.3.5                  | MIXED    | DATA_PACK         | 2025-10-25 05:13:15 |
[25Oct2025 15:38:19.621] [main/INFO] [Mods Optimizer/]: | sophisticatedcore                  | 1.2.71-1022            | FORGE    | BOTH              | 2025-06-21 23:44:26 |
[25Oct2025 15:38:19.624] [main/INFO] [Mods Optimizer/]: | gpumemleakfix                      | 1.20.1-1.8             | FORGE    | BOTH              | 2023-11-20 21:52:16 |
[25Oct2025 15:38:19.624] [main/INFO] [Mods Optimizer/]: | structureessentials                | 1.20.1-3.4             | FORGE    | BOTH              | 2024-06-02 14:06:02 |
[25Oct2025 15:38:19.625] [main/INFO] [Mods Optimizer/]: | citadel                            | 2.6.1                  | FORGE    | BOTH              | 2024-12-18 09:11:09 |
[25Oct2025 15:38:19.626] [main/INFO] [Mods Optimizer/]: | placebo                            | 8.6.2                  | FORGE    | BOTH              | 2024-06-10 00:10:20 |
[25Oct2025 15:38:19.629] [main/INFO] [Mods Optimizer/]: | modernfix                          | 5.20.0+mc1.20.1        | FORGE    | BOTH              | 2025-10-25 05:14:14 |
[25Oct2025 15:38:19.630] [main/INFO] [Mods Optimizer/]: | waves                              | 1.5.1                  | FORGE    | BOTH              | 2025-10-25 05:16:34 |
[25Oct2025 15:38:19.630] [main/INFO] [Mods Optimizer/]: | yungsapi                           | 1.204.0-6              | FORGE    | UNKNOWN           | 2024-09-30 02:13:42 |
[25Oct2025 15:38:19.631] [main/INFO] [Mods Optimizer/]: | redirected                         | 1.0.0                  | FORGE    | UNKNOWN           | 2025-10-25 05:22:01 |
[25Oct2025 15:38:19.632] [main/INFO] [Mods Optimizer/]: | sophisticatedbackpacks             | 3.23.19-1263           | FORGE    | BOTH              | 2025-06-21 16:21:42 |
[25Oct2025 15:38:19.632] [main/INFO] [Mods Optimizer/]: | adaptive_performance_tweaks_gamerules | 11.5.0                 | FORGE    | SERVER            | 2025-08-28 23:51:04 |
[25Oct2025 15:38:19.634] [main/INFO] [Mods Optimizer/]: | simpleplanes                       | 1.20.1-5.3.3           | FORGE    | BOTH              | 2024-07-16 11:49:02 |
[25Oct2025 15:38:19.635] [main/INFO] [Mods Optimizer/]: | balm                               | 7.3.29                 | FORGE    | BOTH              | 2025-05-11 20:08:09 |
[25Oct2025 15:38:19.636] [main/INFO] [Mods Optimizer/]: | mr_stellarity_lite                 | 1.20.1                 | MIXED    | DATA_PACK         | 2025-10-25 05:15:31 |
[25Oct2025 15:38:19.637] [main/INFO] [Mods Optimizer/]: | carryon                            | 2.1.2-7                | FORGE    | BOTH              | 2023-11-19 22:01:15 |
[25Oct2025 15:38:19.642] [main/INFO] [Mods Optimizer/]: | melody                             | 1.0.2                  | FORGE    | BOTH              | 2024-02-15 11:41:44 |
